Date,Open,High,Low,Close,Adj Close,Volume,,Goal II: Open t+1 - Open t,Goal II: Open t+1 - Close t
2020/12/28,3194,3304,3172.689941,3283.959961,3283.959961,5686800,,1,1
2020/12/29,3309.939941,3350.649902,3281.219971,3322,3322,4872900,,1,1
2020/12/30,3341,3342.100098,3282.469971,3285.850098,3285.850098,3209300,,-1,-1
2020/12/31,3275,3282.919922,3241.199951,3256.929932,3256.929932,2957200,,-1,1
2021/1/4,3270,3272,3144.02002,3186.629883,3186.629883,4411400,,-1,-1
2021/1/5,3166.01001,3223.379883,3165.060059,3218.51001,3218.51001,2655500,,-1,-1
2021/1/6,3146.47998,3197.51001,3131.159912,3138.379883,3138.379883,4394800,,1,1
2021/1/7,3157,3208.540039,3155,3162.159912,3162.159912,3514500,,1,1
2021/1/8,3180,3190.639893,3142.199951,3182.699951,3182.699951,3537700,,-1,-1
2021/1/11,3148.01001,3156.379883,3110,3114.209961,3114.209961,3683400,,-1,1
2021/1/12,3120,3142.139893,3086,3120.830078,3120.830078,3514600,,1,1
2021/1/13,3128.439941,3189.949951,3122.080078,3165.889893,3165.889893,3321200,,1,1
2021/1/14,3167.52002,3178,3120.590088,3127.469971,3127.469971,3070900,,-1,-1
2021/1/15,3123.02002,3142.550049,3095.169922,3104.25,3104.25,4244000,,-1,1
2021/1/19,3107,3145,3096,3120.76001,3120.76001,3305100,,1,1
2021/1/20,3181.98999,3279.800049,3175,3263.379883,3263.379883,5309800,,1,1
2021/1/21,3293,3348.550049,3289.570068,3306.98999,3306.98999,4936100,,1,-1
2021/1/22,3304.310059,3321.909912,3283.159912,3292.22998,3292.22998,2821900,,1,1
2021/1/25,3328.5,3363.889893,3243.149902,3294,3294,3749800,,-1,1
2021/1/26,3296.360107,3338,3282.870117,3326.129883,3326.129883,2955200,,1,1
2021/1/27,3341.48999,3346.52002,3207.080078,3232.580078,3232.580078,4660200,,-1,1
2021/1/28,3235.040039,3301.679932,3228.689941,3237.620117,3237.620117,3149200,,-1,-1
2021/1/29,3230,3236.98999,3184.550049,3206.199951,3206.199951,4293600,,1,1
2021/2/1,3242.360107,3350.26001,3235.030029,3342.879883,3342.879883,4160200,,1,1
2021/2/2,3380,3427.73999,3361.129883,3380,3380,7098600,,1,1
2021/2/3,3425.01001,3434,3308.620117,3312.530029,3312.530029,7088800,,-1,1
2021/2/4,3330,3347,3277.75,3331,3331,3670700,,-1,-1
2021/2/5,3319,3377,3302.709961,3352.149902,3352.149902,3620800,,1,1
2021/2/8,3358.5,3365,3304,3322.939941,3322.939941,3257400,,-1,-1
2021/2/9,3312.48999,3338,3297.840088,3305,3305,2203500,,1,1
2021/2/10,3314,3317.949951,3254,3286.580078,3286.580078,3151600,,-1,1
2021/2/11,3292,3292,3248.060059,3262.129883,3262.129883,2301400,,-1,-1
2021/2/12,3250,3280.25,3233.310059,3277.709961,3277.709961,2335300,,1,-1
